scene_id,radar_x,radar_y,radar_z,lidar_x,lidar_y,lidar_z,refined_radar_x,refined_radar_y,residual_x_m,residual_y_m,residual_norm_xy_m
8,7.644467674897135,1.519835697824301,-1.5239999999999998,7.431645685655,1.0088332050497664,-0.8450977677756665,7.5063793918847805,0.8819403688638442,0.0747337062297806,-0.12689283618592218,0.14726479118291114
16,7.291493565752572,2.773343640716761,-1.5239999999999998,7.2810976429075,2.1756859162837503,-0.8460289789885,7.272525740033596,2.1630279357915505,-0.008571902873903525,-0.012657980492199794,0.01528731464386555
24,6.769685200789962,3.8407019793396353,-1.5239999999999998,6.83335831355,3.217584221341923,-0.8500384458385384,6.853123341445363,3.274621126140956,0.01976502789536294,0.05703690479903312,0.06036443354127033
31,5.860116866313042,4.9388237273415765,-1.5239999999999998,6.062166813499599,4.3058882726188,-0.8414504197411203,6.050555415813092,4.453209541689095,-0.011611397686507097,0.14732126907029475,0.14777814749385787
64,5.247600607756488,2.1113000423197184,-1.5239999999999998,5.248964248228462,1.7407908238288463,-0.7968358503988077,5.1755499032440495,1.6955961334446583,-0.07341434498441224,-0.045194690384188,0.08621035951910251
